hotelname,hotelcategory,rate,ratedescription,commentcount,badgerate,stayduration,hotellocation,country,adults,room,checkoutdate,bestbaseprice,bestdiscountprice,offersortid,suppliername,baseprice,discountprice,currency,iscancellable,additionalfeature,hotelurl,senddate,city,checkindate,roomtype
Azak Beach Hotel,3,"6,9",Befriedigend,537,,6,Alanya ,Turkey,2,1,2/23/2020,83,83,3,Expedia,"224,64","224,64",€,FALSE,,https://hotel.check24.de/search/Azak%20Beach%20Hotel-47755/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=105&oP=83,07:30.0,Antalya,2/17/2020,Einzelzimmer
Baronessa Apart Hotel,,"7,4",Gut,247,,6,Alanya ,Turkey,2,1,2/23/2020,109,69,5,Expedia,"153,54","153,54",€,FALSE,,https://hotel.check24.de/search/Baronessa%20Apart%20Hotel-4880171/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=69.06,48:30.5,Antalya,2/17/2020,Einzelzimmer
Club Hotel Barbarossa,,"7,5",Gut,303,,6,Kas,Turkey,2,1,2/23/2020,376,350,4,Expedia,"515,46","515,46",€,FALSE,Meerblick,https://hotel.check24.de/search/Club%20Hotel%20Barbarossa-7833811/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=105&oP=350,36:47.6,Antalya,2/17/2020,Einzelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,21,Expedia,"1.498,48","1.498,44",€,FALSE,,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,41:45.1,Antalya,2/17/2020,Einzelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,24,Expedia,"1.606,56","1.606,56",€,FALSE,Meerblick,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,16:18.4,Antalya,2/17/2020,Einzelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,24,Hotels.Com,"1.533,60","1.533,60",€,FALSE,Meerblick,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,41:45.1,Antalya,2/17/2020,Einzelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,25,Expedia,"1.560,60","1.560,60",€,FALSE,Meerblick,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,41:45.1,Antalya,2/17/2020,Einzelzimmer
Club Hotel Sera,5,"8,6",Sehr gut,4.853,,6,Antalya ,Turkey,2,1,2/23/2020,540,398,19,Expedia,"648,00","583,20",€,FALSE,Meerblick,https://hotel.check24.de/search/Club%20Hotel%20Sera-7746939/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=398,40:44.8,Antalya,2/17/2020,Einzelzimmer
Club Hotel Sera,5,"8,6",Sehr gut,4.853,,6,Antalya ,Turkey,2,1,2/23/2020,540,398,21,Expedia,"648,00","648,00",€,TRUE,Meerblick,https://hotel.check24.de/search/Club%20Hotel%20Sera-7746939/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=398,39:32.5,Antalya,2/17/2020,Einzelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,19,Crowne Plaza Hotels & Resorts,"354,00","250,50",€,FALSE,,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,10:33.6,Antalya,2/17/2020,Einzelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,20,Booking.com,"354,00","250,50",€,FALSE,,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,10:33.6,Antalya,2/17/2020,Einzelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,24,Expedia,"354,00","294,00",€,TRUE,Meerblick,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,36:29.2,Antalya,2/17/2020,Einzelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,25,Booking.com,"354,00","250,50",€,FALSE,,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,29:40.9,Antalya,2/17/2020,Einzelzimmer
Doubletree By Hilton Antalya City Centre,,"9,0",Fabelhaft,299,,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,473,406,14,Hotels.Com,"505,44","505,44",€,TRUE,,https://hotel.check24.de/search/Doubletree%20By%20Hilton%20Antalya%20City%20Centre-11409852/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D9%26per_page%3D50&refLocationId=400999&oS=242&oP=406,56:41.4,Antalya,2/17/2020,Einzelzimmer
Gloria Verde Resort - Kids Concept,5,"9,4",Fabelhaft,1.426,,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,1.248,774,5,Booking.com,"1.123,20","1.123,20",€,FALSE,,https://hotel.check24.de/search/Gloria%20Verde%20Resort%20-%20Kids%20Concept-7136236/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=202&oP=774,01:56.6,Antalya,2/17/2020,Einzelzimmer
Golden Orange Hotel,3,"8,4",Sehr gut,139,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,199,180,9,Booking.com,"390,00","390,00",€,TRUE,Meerblick,https://hotel.check24.de/search/Golden%20Orange%20Hotel-3423682/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=28&oP=180,18:24.3,Antalya,2/17/2020,Einzelzimmer
Grand Kent Otel,,"3,0",Bewertung,,,6,Alanya ,Turkey,2,1,2/23/2020,206,206,4,Hotels.Com,"213,98","213,98",€,FALSE,,https://hotel.check24.de/search/Grand%20Kent%20Otel-9134138/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D16%26per_page%3D50&refLocationId=400999&oS=178&oP=205.58,10:33.6,Antalya,2/17/2020,Einzelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,41,Hotels.Com,"560,00","560,00",€,FALSE,,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,15:47.7,Antalya,2/17/2020,Einzelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,42,Expedia,"560,00","560,00",€,FALSE,,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,11:27.0,Antalya,2/17/2020,Einzelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,49,Holiday Inn,"560,00","464,00",€,FALSE,,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,30:17.5,Antalya,2/17/2020,Einzelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,56,Expedia,"560,00","560,00",€,FALSE,,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,37:17.6,Antalya,2/17/2020,Einzelzimmer
Hotel Terrace Beach Resort All Inclusive,5,"9,1",Fabelhaft,1.511,,6,"Kumköy, Side ",Turkey,2,1,2/23/2020,488,298,6,Hotels.Com,"488,40","488,40",€,FALSE,,https://hotel.check24.de/search/Hotel%20Terrace%20Beach%20Resort%20All%20Inclusive-8122106/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=217&oP=298,49:54.5,Antalya,2/17/2020,Einzelzimmer
Innvista Hotels Belek,5,"8,8",Sehr gut,1.977,,6,Belek ,Turkey,2,1,2/23/2020,450,354,3,Hotels.Com,"405,00","405,00",€,FALSE,,https://hotel.check24.de/search/Innvista%20Hotels%20Belek-189456/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=502&oP=354.24,02:42.3,Antalya,2/17/2020,Einzelzimmer
Kahya Hotel,4,"8,1",Sehr gut,1.04,Top 4% der Stadt,6,Alanya ,Turkey,2,1,2/23/2020,372,266,6,Expedia,"360,06","360,06",€,FALSE,,https://hotel.check24.de/search/Kahya%20Hotel-9157280/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=257&oP=266,09:29.3,Antalya,2/17/2020,Einzelzimmer
Kimera Hotel - Yoga & Spa,,"9,3",Fabelhaft,722,Top 3% der Stadt,6,Çıralı ,Turkey,2,1,2/23/2020,371,360,5,Hotels.Com,"630,00","630,00",€,FALSE,,https://hotel.check24.de/search/Kimera%20Hotel%20-%20Yoga%20%26%20Spa-9391981/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=502&oP=360,21:35.0,Antalya,2/17/2020,Einzelzimmer
King's Suit,,"7,1",Gut,,,6,Alanya ,Turkey,2,1,2/23/2020,72,72,2,Expedia,"72,36","72,36",€,FALSE,,https://hotel.check24.de/search/King's%20Suit-12328714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D16%26per_page%3D50&refLocationId=400999&oS=178&oP=72.18,10:10.0,Antalya,2/17/2020,Einzelzimmer
Lara Konakları,,"4,2",Bewertung,,,6,Antalya ,Turkey,2,1,2/23/2020,91,91,1,Hotels.Com,"91,44","91,44",€,FALSE,,https://hotel.check24.de/search/Lara%20Konaklar%C4%B1-10321908/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D15%26per_page%3D50&refLocationId=400999&oS=178&oP=91.37,05:07.1,Antalya,2/17/2020,Einzelzimmer
Lara World Hotel,,"7,2",Gut,975,Top 4% der Stadt,6,Antalya ,Turkey,2,1,2/23/2020,174,159,31,Expedia,"195,78","195,78",€,FALSE,,https://hotel.check24.de/search/Lara%20World%20Hotel-4384359/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=159,00:06.1,Antalya,2/17/2020,Einzelzimmer
Let’stay Hotel,,"9,0",Fabelhaft,192,,6,Antalya ,Turkey,2,1,2/23/2020,266,211,2,Hotels.Com,"266,40","239,76",€,FALSE,,https://hotel.check24.de/search/Let%E2%80%99stay%20Hotel-8557509/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=502&oP=211.44,24:10.4,Antalya,2/17/2020,Einzelzimmer
Liberty Hotels Lara,5,"9,2",Fabelhaft,4.508,,6,Lara ,Turkey,2,1,2/23/2020,532,374,1,Expedia,"546,00","491,34",€,FALSE,,https://hotel.check24.de/search/Liberty%20Hotels%20Lara-50306/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=287&oP=374,25:05.2,Antalya,2/17/2020,Einzelzimmer
Liberty Hotels Lara,5,"9,2",Fabelhaft,4.508,,6,Lara ,Turkey,2,1,2/23/2020,532,374,11,Expedia,"546,00","546,00",€,TRUE,,https://hotel.check24.de/search/Liberty%20Hotels%20Lara-50306/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=287&oP=374,34:10.5,Antalya,2/17/2020,Einzelzimmer
Maritim Pine Beach Resort,5,"8,8",Sehr gut,4.435,Top 1% der Stadt,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,400,400,13,Expedia,"1.310,36","1.310,36",€,FALSE,,https://hotel.check24.de/search/Maritim%20Pine%20Beach%20Resort-7817215/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=400,03:06.5,Antalya,2/17/2020,Einzelzimmer
Mavi Cennet Camping Pansiyon,,"7,5",Gut,,,6,Kızılot ,Turkey,2,1,2/23/2020,131,131,1,Hotels.Com,"130,50","130,50",€,FALSE,Meerblick,https://hotel.check24.de/search/Mavi%20Cennet%20Camping%20Pansiyon-9757575/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D11%26per_page%3D50&refLocationId=400999&oS=178&oP=130.5,21:42.0,Antalya,2/17/2020,Einzelzimmer
Mutado Hotel,,"8,8",Sehr gut,,,6,Antalya ,Turkey,2,1,2/23/2020,138,138,1,Hotels.Com,"138,00","138,00",€,FALSE,,https://hotel.check24.de/search/Mutado%20Hotel-9645178/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D9%26per_page%3D50&refLocationId=400999&oS=178&oP=138,02:22.5,Antalya,2/17/2020,Einzelzimmer
Narcicegi Otel,,10,Außer­gewöhnlich,,,6,Adrasan ,Turkey,2,1,2/23/2020,367,367,1,Hotels.Com,"367,30","367,30",€,FALSE,,https://hotel.check24.de/search/Narcicegi%20Otel-8645593/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=178&oP=367.3,44:07.1,Antalya,2/17/2020,Einzelzimmer
Naturella Hotel & Apart,,"8,1",Sehr gut,279,,6,Kemer ,Turkey,2,1,2/23/2020,117,71,9,Hotels.Com,"116,64","116,64",€,FALSE,Meerblick,https://hotel.check24.de/search/Naturella%20Hotel%20%26%20Apart-8121706/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=502&oP=71.4,31:39.3,Antalya,2/17/2020,Einzelzimmer
Patio Hotel,,"9,0",Fabelhaft,,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,166,150,5,Hotels.Com,"150,00","150,00",€,FALSE,,https://hotel.check24.de/search/Patio%20Hotel-8557487/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=178&oP=150,28:29.7,Antalya,2/17/2020,Einzelzimmer
Ramada Plaza Antalya,5,"8,3",Sehr gut,4.831,Top 1% der Stadt,6,Antalya ,Turkey,2,1,2/23/2020,384,326,24,Expedia,"420,00","420,00",€,TRUE,,https://hotel.check24.de/search/Ramada%20Plaza%20Antalya-7170993/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=326,36:16.8,Antalya,2/17/2020,Einzelzimmer
Resitalya Hotel,,"6,3",Befriedigend,203,,6,Alanya ,Turkey,2,1,2/23/2020,116,74,9,Expedia,"110,88","110,88",€,FALSE,,https://hotel.check24.de/search/Resitalya%20Hotel-6781624/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=29&oP=73.91,35:17.1,Antalya,2/17/2020,Einzelzimmer
Risus Hotel,,"7,6",Gut,106,,6,Side ,Turkey,2,1,2/23/2020,188,163,2,Hotels.Com,"192,00","163,20",€,FALSE,,https://hotel.check24.de/search/Risus%20Hotel-9584786/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=163.2,49:53.9,Antalya,2/17/2020,Einzelzimmer
Sato Hotel,,"7,3",Gut,49,,6,Antalya ,Turkey,2,1,2/23/2020,176,162,2,Hotels.Com,"166,32","166,32",€,FALSE,,https://hotel.check24.de/search/Sato%20Hotel-7975826/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=178&oP=162,11:39.2,Antalya,2/17/2020,Einzelzimmer
Sealife Family Resort Hotel,5,"8,5",Sehr gut,3.953,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,420,304,9,FTI Touristik,"405,00","316,00",€,FALSE,,https://hotel.check24.de/search/Sealife%20Family%20Resort%20Hotel-7146431/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=502&oP=303.6,14:57.0,Antalya,2/17/2020,Einzelzimmer
Sealife Family Resort Hotel,5,"8,5",Sehr gut,3.953,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,420,304,21,Expedia,"405,00","405,00",€,FALSE,,https://hotel.check24.de/search/Sealife%20Family%20Resort%20Hotel-7146431/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=502&oP=303.6,35:40.3,Antalya,2/17/2020,Einzelzimmer
Sherwood Dreams Resort,5,"8,6",Sehr gut,1.879,,6,Belek ,Turkey,2,1,2/23/2020,312,312,9,Hotels.Com,"550,38","550,38",€,FALSE,,https://hotel.check24.de/search/Sherwood%20Dreams%20Resort-5730730/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=312,42:39.2,Antalya,2/17/2020,Einzelzimmer
Siam Elegance Hotel & Spa,5,"8,3",Sehr gut,2.388,,6,Belek ,Turkey,2,1,2/23/2020,250,250,7,FTI Touristik,"250,00","250,00",€,FALSE,,https://hotel.check24.de/search/Siam%20Elegance%20Hotel%20%26%20Spa-5867971/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=242&oP=250,31:11.2,Antalya,2/17/2020,Einzelzimmer
Sibel Pension,,"9,2",Fabelhaft,,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,240,240,3,Hotels.Com,"240,00","240,00",€,FALSE,,https://hotel.check24.de/search/Sibel%20Pension-8557446/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=178&oP=240,07:51.8,Antalya,2/17/2020,Einzelzimmer
Sirene Belek Hotel,5,"9,2",Fabelhaft,2.692,Top 1% der Stadt,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,840,743,13,Hotels.Com,"840,00","840,00",€,FALSE,,https://hotel.check24.de/search/Sirene%20Belek%20Hotel-9175491/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=502&oP=742.8,47:21.2,Antalya,2/17/2020,Einzelzimmer
Sunprime C-Lounge - Adult Only,5,"9,0",Fabelhaft,1.199,Top 1% der Stadt,6,Alanya ,Turkey,2,1,2/23/2020,370,370,10,Hotels.Com,"597,78","597,78",€,TRUE,,https://hotel.check24.de/search/Sunprime%20C-Lounge%20-%20Adult%20Only-9594584/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=370,17:52.8,Antalya,2/17/2020,Einzelzimmer
The Corner Park Hotel,4,"8,1",Sehr gut,1.506,Top 1% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,219,201,21,Booking.com,"218,94","218,94",€,FALSE,,https://hotel.check24.de/search/The%20Corner%20Park%20Hotel-7774284/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=176&oP=201.06,51:57.9,Antalya,2/17/2020,Einzelzimmer
The Marmara Antalya,5,"8,3",Sehr gut,2.75,Top 5% der Stadt,6,Antalya ,Turkey,2,1,2/23/2020,360,314,29,Hotels.Com,"459,03","405,00",€,FALSE,,https://hotel.check24.de/search/The%20Marmara%20Antalya-8164705/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=257&oP=314,50:52.1,Antalya,2/17/2020,Einzelzimmer
The Marmara Antalya,5,"8,3",Sehr gut,2.75,Top 5% der Stadt,6,Antalya ,Turkey,2,1,2/23/2020,360,314,35,Expedia,"584,98","584,98",€,TRUE,Meerblick,https://hotel.check24.de/search/The%20Marmara%20Antalya-8164705/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=257&oP=314,50:52.1,Antalya,2/17/2020,Einzelzimmer
Villa Adora Beach - Special Class,,"7,6",Gut,118,,6,Side ,Turkey,2,1,2/23/2020,135,121,3,Hotels.Com,"189,00","189,00",€,FALSE,,https://hotel.check24.de/search/Villa%20Adora%20Beach%20-%20Special%20Class-8541173/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D11%26per_page%3D50&refLocationId=400999&oS=105&oP=121,16:57.4,Antalya,2/17/2020,Einzelzimmer
Villa Hotel Tamara,,"8,6",Sehr gut,265,,6,Kas,Turkey,2,1,2/23/2020,506,338,1,Expedia,"506,28","372,90",€,FALSE,Meerblick,https://hotel.check24.de/search/Villa%20Hotel%20Tamara-9468413/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=105&oP=338,35:59.8,Antalya,2/17/2020,Einzelzimmer
Wise Hotel & Spa - Adults Only,,"8,1",Sehr gut,559,,6,Antalya ,Turkey,2,1,2/23/2020,181,181,55,Hotels.Com,"528,54","475,68",€,FALSE,,https://hotel.check24.de/search/Wise%20Hotel%20%26%20Spa%20-%20Adults%20Only-9675742/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=105&oP=181,37:12.1,Antalya,2/17/2020,Einzelzimmer
Wise Hotel & Spa - Adults Only,,"8,1",Sehr gut,559,,6,Antalya ,Turkey,2,1,2/23/2020,181,181,57,Hotels.Com,"528,60","528,60",€,TRUE,,https://hotel.check24.de/search/Wise%20Hotel%20%26%20Spa%20-%20Adults%20Only-9675742/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=105&oP=181,37:12.1,Antalya,2/17/2020,Einzelzimmer
Wise Hotel & Spa - Adults Only,,"8,1",Sehr gut,559,,6,Antalya ,Turkey,2,1,2/23/2020,181,181,58,Hotels.Com,"532,32","532,32",€,FALSE,,https://hotel.check24.de/search/Wise%20Hotel%20%26%20Spa%20-%20Adults%20Only-9675742/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=105&oP=181,37:12.1,Antalya,2/17/2020,Einzelzimmer
Yonca Hotel,,"8,4",Sehr gut,115,,6,Adrasan ,Turkey,2,1,2/23/2020,282,282,1,Booking.com,"282,00","282,00",€,FALSE,,https://hotel.check24.de/search/Yonca%20Hotel-5866367/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=29&oP=281.94,36:13.9,Antalya,2/17/2020,Einzelzimmer
Adalia Hotel,,"5,6",Bewertung,239,,6,"Eski Lara, Antalya ",Turkey,2,1,2/23/2020,132,92,7,Hotels.Com,"135,00","135,00",€,FALSE,,https://hotel.check24.de/search/Adalia%20Hotel-8127834/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=29&oP=91.75,13:14.0,Antalya,2/17/2020,Einzelzimmer
Akasya Hotel,,"5,1",Bewertung,,,6,Antalya ,Turkey,2,1,2/23/2020,110,110,1,Hotels.Com,"110,46","110,40",€,FALSE,,https://hotel.check24.de/search/Akasya%20Hotel-9704007/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D15%26per_page%3D50&refLocationId=400999&oS=178&oP=110.4,00:11.9,Antalya,2/17/2020,Einzelzimmer
