hotelname,hotelcategory,rate,ratedescription,commentcount,badgerate,stayduration,hotellocation,country,adults,room,checkoutdate,bestbaseprice,bestdiscountprice,offersortid,suppliername,baseprice,discountprice,currency,iscancellable,additionalfeature,hotelurl,senddate,city,checkindate,roomtype
Sibel Pension,,"9,2",Fabelhaft,,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,240,240,7,Hotels.Com,"360,00","360,00",€,FALSE,,https://hotel.check24.de/search/Sibel%20Pension-8557446/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=178&oP=240,07:51.8,Antalya,2/17/2020,Apartment
Suite Laguna Otel,,"8,0",Sehr gut,607,Top 5% der Stadt,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,152,152,67,Booking.com,"474,00","474,00",€,TRUE,,https://hotel.check24.de/search/Suite%20Laguna%20Otel-9175476/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=105&oP=152,16:13.3,Antalya,2/17/2020,Apartment
ANTALYA 242 GOLD TOWER,,"6,5",Befriedigend,,,6,Antalya ,Turkey,2,1,2/23/2020,300,300,1,Booking.com,"300,00","300,00",€,FALSE,Meerblick,https://hotel.check24.de/search/ANTALYA%20242%20GOLD%20TOWER-10840208/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D17%26per_page%3D50&refLocationId=400999&oS=28&oP=300,16:36.5,Antalya,2/17/2020,Apartment
Akasya Hotel,,"5,1",Bewertung,,,6,Antalya ,Turkey,2,1,2/23/2020,110,110,6,Hotels.Com,"216,00","216,00",€,FALSE,,https://hotel.check24.de/search/Akasya%20Hotel-9704007/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D15%26per_page%3D50&refLocationId=400999&oS=178&oP=110.4,00:11.9,Antalya,2/17/2020,Apartment
Akça Apart Otel,,"7,3",Gut,,,6,Antalya ,Turkey,2,1,2/23/2020,78,78,1,Hotels.Com,"77,66","77,66",€,FALSE,,https://hotel.check24.de/search/Ak%C3%A7a%20Apart%20Otel-11198314/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=178&oP=77.74,09:38.0,Antalya,2/17/2020,Apartment
Ale Apartments Hotel,,"8,0",Sehr gut,187,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,135,135,1,Booking.com,"135,00","135,00",€,TRUE,,https://hotel.check24.de/search/Ale%20Apartments%20Hotel-9662668/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=28&oP=135,30:16.1,Antalya,2/17/2020,Apartment
Ale Boutique Apartments,,"7,6",Gut,152,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,153,131,7,Booking.com,"192,00","159,60",€,FALSE,,https://hotel.check24.de/search/Ale%20Boutique%20Apartments-7884929/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=29&oP=131.1,08:15.7,Antalya,2/17/2020,Apartment
Arkk Homes,,"9,7",Außer­gewöhnlich,286,,6,Antalya ,Turkey,2,1,2/23/2020,690,456,5,Hotelopia,"1.069,62","1.069,62",€,FALSE,,https://hotel.check24.de/search/Arkk%20Homes-9877290/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=28&oP=456,43:11.5,Antalya,2/17/2020,Apartment
Aspendos Seaside,,"8,7",Sehr gut,,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,126,126,1,Booking.com,"126,00","126,00",€,FALSE,,https://hotel.check24.de/search/Aspendos%20Seaside-9665302/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=178&oP=126,35:36.0,Antalya,2/17/2020,Apartment
Baronessa Apart Hotel,,"7,4",Gut,247,,6,Alanya ,Turkey,2,1,2/23/2020,109,69,10,Hotels.Com,"125,28","125,28",€,FALSE,,https://hotel.check24.de/search/Baronessa%20Apart%20Hotel-4880171/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=69.06,48:30.5,Antalya,2/17/2020,Apartment
Baronessa Apart Hotel,,"7,4",Gut,247,,6,Alanya ,Turkey,2,1,2/23/2020,109,69,12,Hotels.Com,"249,60","249,60",€,FALSE,,https://hotel.check24.de/search/Baronessa%20Apart%20Hotel-4880171/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=69.06,48:30.5,Antalya,2/17/2020,Apartment
Blue Sea Garden Family Hotel,,"8,3",Sehr gut,343,Top 1% der Stadt,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,150,150,8,Booking.com,"330,00","330,00",€,FALSE,,https://hotel.check24.de/search/Blue%20Sea%20Garden%20Family%20Hotel-7884931/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=150,46:43.3,Antalya,2/17/2020,Apartment
Boutique Suite Mim A,,"6,9",Befriedigend,,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,153,140,1,Hotels.Com,"180,00","140,40",€,FALSE,,https://hotel.check24.de/search/Boutique%20Suite%20Mim%20A-9709712/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=178&oP=140.4,12:50.2,Antalya,2/17/2020,Apartment
Camyuva Motel,,"8,0",Sehr gut,,,6,"Camyuva, Kemer ",Turkey,2,1,2/23/2020,168,164,5,Booking.com,"210,00","210,00",€,FALSE,,https://hotel.check24.de/search/Camyuva%20Motel-10295405/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=178&oP=164.46,37:01.4,Antalya,2/17/2020,Apartment
Club Sidar Apart Hotel,,"7,9",Gut,601,,6,Alanya ,Turkey,2,1,2/23/2020,120,93,2,Booking.com,"103,40","103,40",€,FALSE,,https://hotel.check24.de/search/Club%20Sidar%20Apart%20Hotel-8111514/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=105&oP=93,19:48.1,Antalya,2/17/2020,Apartment
Club Sidar Apart Hotel,,"7,9",Gut,601,,6,Alanya ,Turkey,2,1,2/23/2020,120,93,4,Hotels.Com,"147,36","147,36",€,FALSE,,https://hotel.check24.de/search/Club%20Sidar%20Apart%20Hotel-8111514/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=105&oP=93,19:48.1,Antalya,2/17/2020,Apartment
Comfort Suites,,"9,4",Fabelhaft,,,6,Alanya ,Turkey,2,1,2/23/2020,169,151,4,Booking.com,"188,10","188,10",€,FALSE,,https://hotel.check24.de/search/Comfort%20Suites-11249088/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=151.44,51:53.1,Antalya,2/17/2020,Apartment
Elit Apart Otel,,"8,0",Sehr gut,,,6,Konaklı ,Turkey,2,1,2/23/2020,113,113,7,Hotels.Com,"198,00","198,00",€,TRUE,Meerblick,https://hotel.check24.de/search/Elit%20Apart%20Otel-8691780/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=178&oP=113.4,44:18.9,Antalya,2/17/2020,Apartment
